matchup,round,opening_index,low_player,high_player,low_rating,high_rating,low_color,white,black,white_elo,black_elo,result,low_score,termination,plies,full_moves,config_hash,opening_suite,source_pgn
maia3-1600__vs__maia3-2100,17,9,MAIA3 1600,MAIA3 2100,1600,2100,White,MAIA3 1600,MAIA3 2100,1600,2100,0-1,0.0,checkmate,90,45,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,18,9,MAIA3 1600,MAIA3 2100,1600,2100,Black,MAIA3 2100,MAIA3 1600,2100,1600,1-0,0.0,checkmate,137,69,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,19,10,MAIA3 1600,MAIA3 2100,1600,2100,White,MAIA3 1600,MAIA3 2100,1600,2100,1/2-1/2,0.5,threefold repetition,139,70,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,20,10,MAIA3 1600,MAIA3 2100,1600,2100,Black,MAIA3 2100,MAIA3 1600,2100,1600,1-0,0.0,checkmate,97,49,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,21,11,MAIA3 1600,MAIA3 2100,1600,2100,White,MAIA3 1600,MAIA3 2100,1600,2100,0-1,0.0,checkmate,104,52,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,22,11,MAIA3 1600,MAIA3 2100,1600,2100,Black,MAIA3 2100,MAIA3 1600,2100,1600,1-0,0.0,checkmate,71,36,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,23,12,MAIA3 1600,MAIA3 2100,1600,2100,White,MAIA3 1600,MAIA3 2100,1600,2100,0-1,0.0,checkmate,116,58,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,24,12,MAIA3 1600,MAIA3 2100,1600,2100,Black,MAIA3 2100,MAIA3 1600,2100,1600,1-0,0.0,checkmate,33,17,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,25,13,MAIA3 1600,MAIA3 2100,1600,2100,White,MAIA3 1600,MAIA3 2100,1600,2100,0-1,0.0,checkmate,114,57,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,26,13,MAIA3 1600,MAIA3 2100,1600,2100,Black,MAIA3 2100,MAIA3 1600,2100,1600,1-0,0.0,checkmate,113,57,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,27,14,MAIA3 1600,MAIA3 2100,1600,2100,White,MAIA3 1600,MAIA3 2100,1600,2100,0-1,0.0,checkmate,24,12,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,28,14,MAIA3 1600,MAIA3 2100,1600,2100,Black,MAIA3 2100,MAIA3 1600,2100,1600,0-1,1.0,checkmate,52,26,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,29,15,MAIA3 1600,MAIA3 2100,1600,2100,White,MAIA3 1600,MAIA3 2100,1600,2100,0-1,0.0,checkmate,126,63,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,30,15,MAIA3 1600,MAIA3 2100,1600,2100,Black,MAIA3 2100,MAIA3 1600,2100,1600,1-0,0.0,checkmate,101,51,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,31,16,MAIA3 1600,MAIA3 2100,1600,2100,White,MAIA3 1600,MAIA3 2100,1600,2100,0-1,0.0,checkmate,116,58,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,32,16,MAIA3 1600,MAIA3 2100,1600,2100,Black,MAIA3 2100,MAIA3 1600,2100,1600,1-0,0.0,checkmate,47,24,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,33,17,MAIA3 1600,MAIA3 2100,1600,2100,White,MAIA3 1600,MAIA3 2100,1600,2100,0-1,0.0,checkmate,88,44,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,34,17,MAIA3 1600,MAIA3 2100,1600,2100,Black,MAIA3 2100,MAIA3 1600,2100,1600,1-0,0.0,checkmate,155,78,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,35,18,MAIA3 1600,MAIA3 2100,1600,2100,White,MAIA3 1600,MAIA3 2100,1600,2100,0-1,0.0,checkmate,100,50,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,36,18,MAIA3 1600,MAIA3 2100,1600,2100,Black,MAIA3 2100,MAIA3 1600,2100,1600,1-0,0.0,checkmate,77,39,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,37,19,MAIA3 1600,MAIA3 2100,1600,2100,White,MAIA3 1600,MAIA3 2100,1600,2100,1/2-1/2,0.5,stalemate,116,58,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,38,19,MAIA3 1600,MAIA3 2100,1600,2100,Black,MAIA3 2100,MAIA3 1600,2100,1600,1/2-1/2,0.5,insufficient material,129,65,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,39,20,MAIA3 1600,MAIA3 2100,1600,2100,White,MAIA3 1600,MAIA3 2100,1600,2100,0-1,0.0,checkmate,108,54,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,40,20,MAIA3 1600,MAIA3 2100,1600,2100,Black,MAIA3 2100,MAIA3 1600,2100,1600,1-0,0.0,checkmate,101,51,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,41,21,MAIA3 1600,MAIA3 2100,1600,2100,White,MAIA3 1600,MAIA3 2100,1600,2100,0-1,0.0,checkmate,100,50,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,42,21,MAIA3 1600,MAIA3 2100,1600,2100,Black,MAIA3 2100,MAIA3 1600,2100,1600,1-0,0.0,checkmate,89,45,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,43,22,MAIA3 1600,MAIA3 2100,1600,2100,White,MAIA3 1600,MAIA3 2100,1600,2100,1/2-1/2,0.5,threefold repetition,130,65,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,44,22,MAIA3 1600,MAIA3 2100,1600,2100,Black,MAIA3 2100,MAIA3 1600,2100,1600,1-0,0.0,checkmate,97,49,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,45,23,MAIA3 1600,MAIA3 2100,1600,2100,White,MAIA3 1600,MAIA3 2100,1600,2100,1-0,1.0,checkmate,123,62,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,46,23,MAIA3 1600,MAIA3 2100,1600,2100,Black,MAIA3 2100,MAIA3 1600,2100,1600,1-0,0.0,checkmate,49,25,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,47,24,MAIA3 1600,MAIA3 2100,1600,2100,White,MAIA3 1600,MAIA3 2100,1600,2100,0-1,0.0,checkmate,132,66,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,48,24,MAIA3 1600,MAIA3 2100,1600,2100,Black,MAIA3 2100,MAIA3 1600,2100,1600,1-0,0.0,checkmate,103,52,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,49,25,MAIA3 1600,MAIA3 2100,1600,2100,White,MAIA3 1600,MAIA3 2100,1600,2100,0-1,0.0,checkmate,112,56,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,50,25,MAIA3 1600,MAIA3 2100,1600,2100,Black,MAIA3 2100,MAIA3 1600,2100,1600,1-0,0.0,checkmate,39,20,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,51,26,MAIA3 1600,MAIA3 2100,1600,2100,White,MAIA3 1600,MAIA3 2100,1600,2100,0-1,0.0,checkmate,164,82,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,52,26,MAIA3 1600,MAIA3 2100,1600,2100,Black,MAIA3 2100,MAIA3 1600,2100,1600,1-0,0.0,checkmate,125,63,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,53,27,MAIA3 1600,MAIA3 2100,1600,2100,White,MAIA3 1600,MAIA3 2100,1600,2100,0-1,0.0,checkmate,100,50,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,54,27,MAIA3 1600,MAIA3 2100,1600,2100,Black,MAIA3 2100,MAIA3 1600,2100,1600,1/2-1/2,0.5,threefold repetition,106,53,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,55,28,MAIA3 1600,MAIA3 2100,1600,2100,White,MAIA3 1600,MAIA3 2100,1600,2100,0-1,0.0,checkmate,66,33,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,56,28,MAIA3 1600,MAIA3 2100,1600,2100,Black,MAIA3 2100,MAIA3 1600,2100,1600,1-0,0.0,checkmate,105,53,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,57,29,MAIA3 1600,MAIA3 2100,1600,2100,White,MAIA3 1600,MAIA3 2100,1600,2100,0-1,0.0,checkmate,56,28,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,58,29,MAIA3 1600,MAIA3 2100,1600,2100,Black,MAIA3 2100,MAIA3 1600,2100,1600,1-0,0.0,checkmate,117,59,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,59,30,MAIA3 1600,MAIA3 2100,1600,2100,White,MAIA3 1600,MAIA3 2100,1600,2100,1-0,1.0,checkmate,159,80,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,60,30,MAIA3 1600,MAIA3 2100,1600,2100,Black,MAIA3 2100,MAIA3 1600,2100,1600,1-0,0.0,checkmate,81,41,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,61,31,MAIA3 1600,MAIA3 2100,1600,2100,White,MAIA3 1600,MAIA3 2100,1600,2100,0-1,0.0,checkmate,54,27,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,62,31,MAIA3 1600,MAIA3 2100,1600,2100,Black,MAIA3 2100,MAIA3 1600,2100,1600,1-0,0.0,checkmate,107,54,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,63,32,MAIA3 1600,MAIA3 2100,1600,2100,White,MAIA3 1600,MAIA3 2100,1600,2100,0-1,0.0,checkmate,88,44,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,64,32,MAIA3 1600,MAIA3 2100,1600,2100,Black,MAIA3 2100,MAIA3 1600,2100,1600,0-1,1.0,checkmate,78,39,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,65,33,MAIA3 1600,MAIA3 2100,1600,2100,White,MAIA3 1600,MAIA3 2100,1600,2100,0-1,0.0,checkmate,88,44,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,66,33,MAIA3 1600,MAIA3 2100,1600,2100,Black,MAIA3 2100,MAIA3 1600,2100,1600,1-0,0.0,checkmate,117,59,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,67,34,MAIA3 1600,MAIA3 2100,1600,2100,White,MAIA3 1600,MAIA3 2100,1600,2100,1-0,1.0,checkmate,27,14,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,68,34,MAIA3 1600,MAIA3 2100,1600,2100,Black,MAIA3 2100,MAIA3 1600,2100,1600,1-0,0.0,checkmate,113,57,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,69,35,MAIA3 1600,MAIA3 2100,1600,2100,White,MAIA3 1600,MAIA3 2100,1600,2100,0-1,0.0,checkmate,116,58,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,70,35,MAIA3 1600,MAIA3 2100,1600,2100,Black,MAIA3 2100,MAIA3 1600,2100,1600,1-0,0.0,checkmate,111,56,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,71,36,MAIA3 1600,MAIA3 2100,1600,2100,White,MAIA3 1600,MAIA3 2100,1600,2100,0-1,0.0,checkmate,80,40,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,72,36,MAIA3 1600,MAIA3 2100,1600,2100,Black,MAIA3 2100,MAIA3 1600,2100,1600,0-1,1.0,checkmate,48,24,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,73,37,MAIA3 1600,MAIA3 2100,1600,2100,White,MAIA3 1600,MAIA3 2100,1600,2100,0-1,0.0,checkmate,66,33,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,74,37,MAIA3 1600,MAIA3 2100,1600,2100,Black,MAIA3 2100,MAIA3 1600,2100,1600,0-1,1.0,checkmate,118,59,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,75,38,MAIA3 1600,MAIA3 2100,1600,2100,White,MAIA3 1600,MAIA3 2100,1600,2100,1-0,1.0,checkmate,57,29,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,76,38,MAIA3 1600,MAIA3 2100,1600,2100,Black,MAIA3 2100,MAIA3 1600,2100,1600,1-0,0.0,checkmate,121,61,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,77,39,MAIA3 1600,MAIA3 2100,1600,2100,White,MAIA3 1600,MAIA3 2100,1600,2100,0-1,0.0,checkmate,74,37,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,78,39,MAIA3 1600,MAIA3 2100,1600,2100,Black,MAIA3 2100,MAIA3 1600,2100,1600,1-0,0.0,checkmate,129,65,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,79,40,MAIA3 1600,MAIA3 2100,1600,2100,White,MAIA3 1600,MAIA3 2100,1600,2100,0-1,0.0,checkmate,122,61,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,80,40,MAIA3 1600,MAIA3 2100,1600,2100,Black,MAIA3 2100,MAIA3 1600,2100,1600,1-0,0.0,checkmate,43,22,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,81,41,MAIA3 1600,MAIA3 2100,1600,2100,White,MAIA3 1600,MAIA3 2100,1600,2100,0-1,0.0,checkmate,56,28,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,82,41,MAIA3 1600,MAIA3 2100,1600,2100,Black,MAIA3 2100,MAIA3 1600,2100,1600,1-0,0.0,checkmate,141,71,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,83,42,MAIA3 1600,MAIA3 2100,1600,2100,White,MAIA3 1600,MAIA3 2100,1600,2100,0-1,0.0,checkmate,92,46,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
maia3-1600__vs__maia3-2100,84,42,MAIA3 1600,MAIA3 2100,1600,2100,Black,MAIA3 2100,MAIA3 1600,2100,1600,1/2-1/2,0.5,threefold repetition,98,49,1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,maia-relative-strength-100.pgn,maia3-1600__vs__maia3-2100.pgn
