matchup,alternative,raw_p,holm_p,permutations
maia3-1600__vs__maia3-2100,two-sided around 50%,9.99990000099999e-06,1.999980000199998e-05,100000
maia3-1600__vs__maia3-2300,two-sided around 50%,9.99990000099999e-06,1.999980000199998e-05,100000
