matchup,low_player,high_player,wins,draws,losses,low_score,low_score_ci95_low,low_score_ci95_high,low_white_score,low_black_score,nominal_gap,higher_realized_elo_gap,higher_realized_elo_gap_ci95_low,higher_realized_elo_gap_ci95_high,compression_ratio,compression_ratio_ci95_low,compression_ratio_ci95_high,mean_plies,median_plies,min_plies,max_plies,termination_distribution,config_hash,pgn_sha256
maia3-1600__vs__maia3-2100,MAIA3 1600,MAIA3 2100,23,27,150,0.1825,0.1375,0.23,0.165,0.2,500,260.4899570159321,209.9051556619556,318.98256223161206,0.5209799140318642,0.4198103113239112,0.6379651244632242,91.5,93.0,17,183,"{""checkmate"": 173, ""insufficient material"": 5, ""stalemate"": 5, ""threefold repetition"": 17}",1e291f3bf1c4180d559b85da91adb80d50b072d9681173eb1b49984378831a62,aff214f6906c06af25fc7b8b06cc631bf23f54d66b41c11714a87d81db48ab66
maia3-1600__vs__maia3-2300,MAIA3 1600,MAIA3 2300,26,26,148,0.195,0.15,0.24,0.215,0.175,700,246.30450760214018,200.24094022767414,301.33106666344463,0.3518635822887717,0.2860584860395345,0.43047295237634947,94.03,93.5,17,185,"{""checkmate"": 174, ""insufficient material"": 5, ""stalemate"": 4, ""threefold repetition"": 17}",031487cefeac31201a68b7d346a4615552c82bd293c4ff9c7ccf97a18a93789f,2b2f5256d0791aab89a4b8fa030a810b476c4ec6e430c78d0f9c6e1bbb46dd3b
