matchup,round,opening_index,engine_a,engine_b,engine_a_family,engine_b_family,engine_a_rating,engine_b_rating,engine_a_color,white,black,result,engine_a_score,termination,plies,config_hash,opening_suite,source_pgn
maia2-1100__vs__maia2-1300,16,8,MAIA2 1100,MAIA2 1300,maia2,maia2,1100,1300,Black,MAIA2 1300,MAIA2 1100,1-0,0.0,checkmate,43,d31e41e2b8428d226fa6c3501db2c5191b8533cad5e937ee561da25ccbbc228e,maia-relative-strength-100.pgn,maia2-1100__vs__maia2-1300.pgn
maia2-1100__vs__maia2-1300,17,9,MAIA2 1100,MAIA2 1300,maia2,maia2,1100,1300,White,MAIA2 1100,MAIA2 1300,1/2-1/2,0.5,threefold repetition,93,d31e41e2b8428d226fa6c3501db2c5191b8533cad5e937ee561da25ccbbc228e,maia-relative-strength-100.pgn,maia2-1100__vs__maia2-1300.pgn
maia2-1100__vs__maia2-1300,18,9,MAIA2 1100,MAIA2 1300,maia2,maia2,1100,1300,Black,MAIA2 1300,MAIA2 1100,1/2-1/2,0.5,threefold repetition,88,d31e41e2b8428d226fa6c3501db2c5191b8533cad5e937ee561da25ccbbc228e,maia-relative-strength-100.pgn,maia2-1100__vs__maia2-1300.pgn
maia2-1100__vs__maia2-1300,19,10,MAIA2 1100,MAIA2 1300,maia2,maia2,1100,1300,White,MAIA2 1100,MAIA2 1300,1/2-1/2,0.5,threefold repetition,58,d31e41e2b8428d226fa6c3501db2c5191b8533cad5e937ee561da25ccbbc228e,maia-relative-strength-100.pgn,maia2-1100__vs__maia2-1300.pgn
maia2-1100__vs__maia2-1300,20,10,MAIA2 1100,MAIA2 1300,maia2,maia2,1100,1300,Black,MAIA2 1300,MAIA2 1100,1/2-1/2,0.5,threefold repetition,126,d31e41e2b8428d226fa6c3501db2c5191b8533cad5e937ee561da25ccbbc228e,maia-relative-strength-100.pgn,maia2-1100__vs__maia2-1300.pgn
maia2-1100__vs__maia2-1300,21,11,MAIA2 1100,MAIA2 1300,maia2,maia2,1100,1300,White,MAIA2 1100,MAIA2 1300,0-1,0.0,checkmate,70,d31e41e2b8428d226fa6c3501db2c5191b8533cad5e937ee561da25ccbbc228e,maia-relative-strength-100.pgn,maia2-1100__vs__maia2-1300.pgn
maia2-1100__vs__maia2-1300,22,11,MAIA2 1100,MAIA2 1300,maia2,maia2,1100,1300,Black,MAIA2 1300,MAIA2 1100,1/2-1/2,0.5,threefold repetition,123,d31e41e2b8428d226fa6c3501db2c5191b8533cad5e937ee561da25ccbbc228e,maia-relative-strength-100.pgn,maia2-1100__vs__maia2-1300.pgn
maia2-1100__vs__maia2-1300,23,12,MAIA2 1100,MAIA2 1300,maia2,maia2,1100,1300,White,MAIA2 1100,MAIA2 1300,1/2-1/2,0.5,threefold repetition,71,d31e41e2b8428d226fa6c3501db2c5191b8533cad5e937ee561da25ccbbc228e,maia-relative-strength-100.pgn,maia2-1100__vs__maia2-1300.pgn
maia2-1100__vs__maia2-1300,24,12,MAIA2 1100,MAIA2 1300,maia2,maia2,1100,1300,Black,MAIA2 1300,MAIA2 1100,1/2-1/2,0.5,threefold repetition,116,d31e41e2b8428d226fa6c3501db2c5191b8533cad5e937ee561da25ccbbc228e,maia-relative-strength-100.pgn,maia2-1100__vs__maia2-1300.pgn
maia2-1100__vs__maia2-1300,25,13,MAIA2 1100,MAIA2 1300,maia2,maia2,1100,1300,White,MAIA2 1100,MAIA2 1300,1/2-1/2,0.5,threefold repetition,103,d31e41e2b8428d226fa6c3501db2c5191b8533cad5e937ee561da25ccbbc228e,maia-relative-strength-100.pgn,maia2-1100__vs__maia2-1300.pgn
maia2-1100__vs__maia2-1300,26,13,MAIA2 1100,MAIA2 1300,maia2,maia2,1100,1300,Black,MAIA2 1300,MAIA2 1100,1-0,0.0,checkmate,137,d31e41e2b8428d226fa6c3501db2c5191b8533cad5e937ee561da25ccbbc228e,maia-relative-strength-100.pgn,maia2-1100__vs__maia2-1300.pgn
maia2-1100__vs__maia2-1300,27,14,MAIA2 1100,MAIA2 1300,maia2,maia2,1100,1300,White,MAIA2 1100,MAIA2 1300,0-1,0.0,checkmate,164,d31e41e2b8428d226fa6c3501db2c5191b8533cad5e937ee561da25ccbbc228e,maia-relative-strength-100.pgn,maia2-1100__vs__maia2-1300.pgn
maia2-1100__vs__maia2-1300,28,14,MAIA2 1100,MAIA2 1300,maia2,maia2,1100,1300,Black,MAIA2 1300,MAIA2 1100,1/2-1/2,0.5,threefold repetition,102,d31e41e2b8428d226fa6c3501db2c5191b8533cad5e937ee561da25ccbbc228e,maia-relative-strength-100.pgn,maia2-1100__vs__maia2-1300.pgn
maia2-1100__vs__maia2-1300,29,15,MAIA2 1100,MAIA2 1300,maia2,maia2,1100,1300,White,MAIA2 1100,MAIA2 1300,1/2-1/2,0.5,threefold repetition,59,d31e41e2b8428d226fa6c3501db2c5191b8533cad5e937ee561da25ccbbc228e,maia-relative-strength-100.pgn,maia2-1100__vs__maia2-1300.pgn
maia2-1100__vs__maia2-1300,30,15,MAIA2 1100,MAIA2 1300,maia2,maia2,1100,1300,Black,MAIA2 1300,MAIA2 1100,0-1,1.0,checkmate,88,d31e41e2b8428d226fa6c3501db2c5191b8533cad5e937ee561da25ccbbc228e,maia-relative-strength-100.pgn,maia2-1100__vs__maia2-1300.pgn
maia2-1100__vs__maia2-1300,31,16,MAIA2 1100,MAIA2 1300,maia2,maia2,1100,1300,White,MAIA2 1100,MAIA2 1300,1/2-1/2,0.5,threefold repetition,86,d31e41e2b8428d226fa6c3501db2c5191b8533cad5e937ee561da25ccbbc228e,maia-relative-strength-100.pgn,maia2-1100__vs__maia2-1300.pgn
